铁路工程劳务分包/专业分包指导价												
项	序号	编号	细目名称	单位	指导价（元）		费用组成（采用反向描述的方式，列举出所有甲方承担的费用，除此以外的全部费用由乙方承担，费用包含在单价中）				计量规则	工作内容
					单价	调价	甲方提供材料及限额损耗率	甲方提供的周转材料	甲方提供的机械、设备费	施工措施等其它费用		
一			路基工程									
		023	路基电缆槽钢筋制安	t	550.0		甲方提供钢筋、损耗率1%以内	/	/		按实际安设的钢筋长度计算，搭接长度不计	清除油渍、漆污、调直、除锈、切断、弯曲、捆束、堆放、焊接及绑接；划线、配料、绑扎、检查、校正；工地内运输等全部工作内容
		024	路基电缆槽运输安装（含运距5km）	m3	160.0	/	/	/	/		按现场实际完成合格工程量计量	运输、安装电缆槽，回填沟槽，夯填等全部工作内容
		025	水沟盖板预制（500*500mm）	m3	240.0	/	甲方提供砼、损耗率1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，钢筋下料、加工、绑扎、安装，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
		026	水沟盖板运输安装（含运距5km）	m3	150.0	/	/	/	/		按现场实际完成合格工程量计量	运输、挂线、座浆、安装等全部工作内容
		027	小型构件预制（0.015m3以内）	m3	280.0	/	甲方提供砼、损耗率1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
		028	小型构件预制（0.015m3以外）	m3	240.0	/	甲方提供砼、损耗率1%以内	/	/		按现场实际完成合格工程量计量	模具安装、拆除、维护，砼浇注、振动、养护，成品堆码场地内材料运输等全部工作内容
		029	小型构件钢筋制安	t	550.0	/	甲方提供钢筋、损耗率1%以内	/	/		按实际安设的钢筋长度计算，搭接长度不计	钢筋按图纸下料、制作，焊接、绑扎并经验收合格，制作安装保护层水泥垫块等全部工作内容
		030	小型构件运输安装（含运距5km）	m3	150.0	/	/	/	/		按现场实际完成合格工程量计量	运输、安装场地整理，铺装，勾缝等全部工作内容
		031	C20排水沟混凝土浇注	m3	70.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆、灌注砼、振捣、养护等全部工作内容
		032	护脚、护墙、路肩混凝土浇注	m3	70.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆、灌注砼、振捣、养护等全部工作内容
		033	过渡段回填混凝土	m3	50.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示尺寸计算	模板制、安、拆；支撑搭拆；砼浇筑、振捣、养生等全部工作内容
		034	锥体护坡、检查台阶M10浆砌片石	m3	288.82	片石1.15m3，砂浆0.35m3	/	/	/		按现场实际完成合格工程量计量	人工开挖土槽，并运至工作面外30m，修整边坡及沟槽底面清理，拌、运砂浆，选、修、运、破碎石料，搭、移跳板，砌筑、勾缝、养生等全部工作内容
	05		地基处理									
		001	碎石桩（直径0.5m)（路基）	m	14.0	/	甲方提供碎石	/	/	甲方负责电接至施工现场配电柜处；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计图示尺寸以桩长计算	安、拆振冲器，振冲、填碎石，疏导泥浆，场内临时道路维护等全部工作内容
		002	碎石桩（直径1.0m)（路基）	m	20.0	/	甲方提供碎石	/	/		按设计图示尺寸以桩长计算	安、拆振冲器，振冲、填碎石，疏导泥浆，场内临时道路维护等全部工作内容
		003	砂桩（桩径0.9m）（路基）	m	17.0	/	甲方提供砂	/	/		按设计图示尺寸以桩长计算	振冲器就位、振冲水冲成孔、拔管振密、排水成桩、移位，扫桩、清理场地等全部工作内容
		004	旋喷桩（直径0.5m)（路基）	m	30.0	/	甲方提供水泥	/	/		按设计图示尺寸以桩长计算	清理现场，钻机就位、钻孔、移位，配置浆液，喷射装置就位、注浆、移位，泥浆池清理，机具清洗及操作范围内料具搬运等全部工作内容
		005	旋喷桩（直径0.6m)（路基）	m	40.0	/	甲方提供水泥	/	/		按设计图示尺寸以桩长计算	清理现场，钻机就位、钻孔、移位，配置浆液，喷射装置就位、注浆、移位，泥浆池清理，机具清洗及操作范围内料具搬运等全部工作内容
		006	粉喷桩（直径0.5m)（路基）	m	8.0	/	甲方提供水泥	/	/		按设计图示尺寸以桩长计算	清除石块和杂物、整平场地，钻机移位、对位、井架调直、钻进，提升喷灰，不喷灰提钻、灰罐上料等全部工作内容
		007	水泥搅拌桩（直径0.5m)（路基）	m	12.0	/	甲方提供水泥	/	/		按设计图示尺寸以桩长计算	桩机就位，定位，钻进，调制水泥浆，输送压浆，搅拌提升，重复喷浆钻进搅拌、重复搅拌提升、成桩完毕，移位，清理工作面等全部工作内容
		008	打入预应力管桩（直径0.5m）（路基）	m	20.0	/	甲方提供管桩	/	/		按设计图示桩顶至桩底的长度计算	机械进、出场、配合进场机械报验、机械转场、铺道板、机械就位、调试、配合管桩卸料下车，按要求堆放、桩位标记、试桩、管桩刻度标记、桩靴焊接、喂桩、管桩打入、管桩接头焊接、送桩、控制管桩桩位、垂直度和标高、洞口防护等与管桩施工有关的全部工作内容
		009	静压预应力管桩（直径0.5m）（路基）	m	22.0	/	甲方提供管桩	/	/		按设计图示桩顶至桩底的长度计算	机械进、出场、配合进场机械报验、机械转场、铺道板、机械就位、调试、配合管桩卸料下车，按要求堆放、桩位标记、试桩、管桩刻度标记、桩靴焊接、喂桩、管桩压入、管桩接头焊接、送桩、控制管桩桩位、垂直度和标高、洞口防护等与管桩施工有关的全部工作内容
		010	CFG桩（直径0.5m）长螺旋法（路基，自发电）	m	18.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示桩顶至桩底的长度计算	设置临时防排水、施工平台维护及支垫；设备调遣(进、出场)，钻机就位；准备钻具、钻孔；砼灌注（含泵送费）、提管移位及操作范围内料具搬运等全部工作内容
		011	CFG桩（直径0.5m）长螺旋法（路基，网电）	m	16.0	/	甲方提供砼、损耗率1%以内	/	/		按设计图示桩顶至桩底的长度计算	设置临时防排水、施工平台维护及支垫；设备调遣(进、出场)，钻机就位；准备钻具、钻孔；砼灌注（含泵送费）、提管移位及操作范围内料具搬运等全部工作内容
		012	CFG桩桩帽	m3	130.0	/	甲方提供砼、损耗率1%以内	/	/		按设计方量计算	挖除桩间土，模板安拆，加固，涂脱模剂，人工配合浇筑砼，洒水养生等全部工作内容
		013	CFG桩破桩头	个	15.0	/	/	/	/		按实际个数计算	破除桩头砼，配合桩检等全部工作内容
		014	冲击碾压（碾压20遍）	m2	2.0	/	/	/	/		按照实际需要处理的投影面积计量	机械就位及移位、按技术交底规定进行碾压至满足设计要求（至少碾压20遍）、碾压后配合检测、机械进退场等全部工作内容
		015	强夯（夯击6遍）	m2	10.0	/	/	/	/		按照实际需要处理的投影面积计量	夯机就位及移位、按技术交底规定进行夯击至满足设计要求（至少夯击6遍）、夯击后配合检测、测设夯点、夯机进退场等全部工作内容
		016	重锤夯实（夯击6遍）	m2	7.0	/	/	/	/		按照实际需要处理的投影面积计量	夯机就位及移位、按技术交底规定进行夯击至满足设计要求（至少夯击6遍）、夯击后配合检测、测设夯点、夯机进退场等等全部工作内容
		017	抛填片石	m3	8.0	/	甲方提供片石	/	/		按实际方量	人工配合机械抛填片石,整平,碾压等全部工作内容
二			桥涵工程									
	01		桩基									
		001	钻孔桩钢筋制作、运输	t	450.0	/	甲方提供钢筋、损耗率1%以内	/	行吊	甲方负责负责泥浆外运、凿桩头；甲方负责电接至施工现场配电柜处；甲方提供施工主便道；甲方提供安全等标识标牌；甲方负责控制测量、试验、检测，但乙方须人工、机械配合	按设计图纸的净长、规格换算的重量进行计量，所有搭接、下脚料、定位钢筋均不予计量	卸车存放、清除油渍、漆污、调直、除锈、切断、弯曲、捆束、堆放、焊接及绑扎；划线、配料、绑扎、检查、校正；工地内运输等全部工作内容
		002	声测管制作、运输	m	1.0	/	甲方提供声测管	/			声测管按桩基设计长度乘以声测管根数计	制作安装U型筋，安装声测管等全部工作内容
		003	φ1.0m回旋钻孔桩	m3 /m	178/140	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		004	φ1.25m回旋钻孔桩	m3 /m	155/190	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		005	φ1.5m回旋钻孔桩	m3 /m	136/240	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		006	φ1.8m回旋钻孔桩	m3 /m	126/320	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，场地平整，准备机具，挖泥浆池，埋设钢护筒，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		007	φ2.0m回旋钻孔桩	m3 /m	127/400	/	甲方提供砼、损耗率7%以内	/	/		桩长按图纸设计长度计算	钻机进出场，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、下钢筋笼（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录等全部工作内容
		008	φ80cm旋挖钻孔桩（综合）	m3 /m	238/120	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		009	φ1.0m旋挖钻成孔桩（综合）	m3 /m	203/160	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		010	φ1.25m旋挖钻成桩（综合）	m3 /m	163/200	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		011	φ1.5m旋挖钻成桩（综合）	m3 /m	147/260	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		012	φ1.8m旋挖钻成桩（综合）	m3 /m	133/340	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装(含孔口连接)，搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		013	φ2.0m旋挖钻成桩（综合）	m3 /m	133/420	/	甲方提供砼、损耗率5%以内	/	/		桩长按图纸设计长度计算	陆上准备机具，设置泥浆循环系统，造浆、钻机就位、开钻、钻进，清孔、钢筋笼吊装（含孔口焊接），搭拆灌注平台，灌注水下砼，成孔后钻机移位，原始钻孔桩灌注记录，以及渣土堆置等全部工作内容
		014	φ1.0冲击钻成桩（土层、砂砾、砾石）	m3 /m	250/196	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		015	φ1.0冲击钻成桩（软石、次坚石）	m3 /m	450/353	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
		016	φ1.25冲击钻成桩（土层、砂砾、砾石）	m3 /m	230/282	/	甲方提供砼、损耗率10%以内	/	/		桩长按图纸设计长度计算	临时支撑措施；设置泥浆循环系统、造浆；装、拆、移钻机，制作、埋设护筒，钻架就位、安装钻头及钻具、冲孔、提钻、出渣、加水、加粘土、清孔、量孔深等成孔全过程，安装钢筋笼，搭拆灌注平台，安、拆导管及漏斗，浇注混凝土等全部工作内容
